Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
COX20	3	Q5RI15	0.9996	24.87336594088059	24.13816481178779	21.354365583275246	22.128903748818782	26.262385963454562	22.17930241091641	25.37208958040874	25.083168626378672	25.06327038429941	22.073376584760776	24.634449684716678	24.87336594088059
COX4I1	37	P13073	1.0	28.52735656672055	28.984652105952833	24.712905797750267	26.195943483924445	29.340875298858307	25.837626099926926	28.979712068704472	28.805099519627404	29.474787504641867	25.528608629723198	28.94730363238504	28.52735656672055
COX5A	29	P20674	1.0	28.573219011134768	28.826852582945342	24.904054682012813	26.02844856322748	29.405974167392763	25.775821011982153	29.1512388985522	28.85690296773922	29.460099271927934	25.61396467857281	29.106507203078067	28.573219011134768
COX5B	18	P10606	1.0	27.776316083352917	28.102976006286543	24.05809266598694	25.149533074036746	28.64955653646024	24.748134827901477	28.323583226563464	28.11264529003442	28.632348875954357	24.845138840950437	28.25095794922825	27.776316083352917
COX6B1	15	P14854	1.0	26.503059752872506	26.83697966125148	22.997325467852	24.251901769964736	27.124835084207927	23.776714086541425	27.280652802999402	26.72186921752883	27.21772898162418	23.438047842391626	27.037615539811426	26.503059752872506
COX6C	16	P09669	0.9998	28.161382596309544	28.62404380343242	24.013725408453038	26.077497665877733	28.826306237450503	24.85736165707219	28.628623527530543	28.58558589079409	29.28675301905173	25.458477576051283	28.487238131789397	28.161382596309544
COX7A1	1	P24310	1.0	18.975775679969107	18.75093359340803	NA	15.748587239232425	20.014103798932076	NA	19.326756857202188	19.120751024367372	19.421955824495498	16.036920364907672	19.125943552533695	18.975775679969107
COX7A2	9	P14406	1.0	26.74694297190196	27.321519810028462	22.614339458683585	24.475135025532197	26.97635059993608	22.97031687134391	27.166580580400762	26.97833567914343	27.739670080017504	23.58390818466575	27.316244557172418	26.74694297190196
COX7A2L	8	O14548	1.0	25.028239089239875	25.22420462476823	21.3200459301167	22.563562275670055	25.98343527101173	22.084643756437426	25.62612735414237	25.593207777895845	25.74468584722488	22.0190311663916	25.45481883270724	25.028239089239875
COX7C	6	P15954	1.0	25.20702271796461	25.842953509094542	20.804802687441203	22.91717687294904	26.02591682049111	21.879515921444135	25.770117485287948	25.668656643640578	26.137993346342046	22.15663867964216	25.670699313435797	25.20702271796461
COX8A	2	P10176	0.9999	22.921896637669253	22.80182190644204	NA	20.00611416777153	23.400111520922753	19.77894656381638	23.681462954894574	23.462692545740328	23.960917525019227	19.904183942426997	23.048467209930713	22.921896637669253
CP	44	P00450	1.0	26.19480586720443	26.36636619857991	21.865429735366668	23.492678221886344	26.48973732267966	22.792254039932505	26.86495957901216	26.939760031997256	27.08088640251373	23.484764482160344	26.7736020912816	26.19480586720443
CPA3	3	P15088	0.9999	21.05833155776139	20.986462576613203	17.016938354310103	17.866383498086048	21.66322246207844	18.739395679638147	21.56531403020394	21.646726808905022	22.008460823184823	18.043640119247975	22.11017825107959	21.05833155776139
CPB2	6	Q96IY4	1.0	23.0654769161929	23.136804652293982	18.931818998897576	20.202943112843823	23.63514930983777	20.11499061094232	23.8119268624103	24.0600747669908	23.94334222164152	20.678793666511606	23.433783464873102	23.0654769161929
CPD	31	O75976	1.0	23.989957426151747	23.274668851221737	19.76096401709336	20.524036199874693	25.56486445567733	20.655878056171808	24.949310902608325	24.65826662667633	24.20422280427632	21.251576765617138	23.634298486656668	23.989957426151747
CPEB2	1	Q7Z5Q1	0.9792	17.620678400060264	17.878799444551717	NA	14.714028441923464	18.457866048791672	14.853080463691523	17.882770763249997	17.753826536575403	18.17822146354926	14.842843418423433	18.48765732695067	17.620678400060264
CPEB4	2	Q17RY0	0.9997	21.00346500710321	20.99787924556141	17.43511713920359	18.521665656214637	22.593273344230354	18.29092160642314	21.643273324716237	21.440237655871982	21.316446109593873	18.39102993799521	21.311543722149544	21.00346500710321
CPM	8	P14384	1.0	23.678894500049953	23.71600406135803	19.285004879266815	20.806921636360222	24.993959097496543	20.668816600270763	24.235930837920687	23.99072119168039	24.37241163540104	20.373228247947903	24.34197193195269	23.678894500049953
CPN1	2	P15169	0.9998	20.384223613936822	20.652796954757473	17.035509222196094	17.95530553462592	21.637794302385345	17.599603143760547	20.891561808276396	20.829807868244295	20.920184678619616	18.02214810835017	21.00297649885153	20.384223613936822
CPN2	6	P22792	1.0	21.984555351422422	22.275307738630037	18.30325968521715	19.373265434543328	22.793311624107968	18.765449634843637	22.646089239194062	22.484794013013914	22.72187499791499	19.323024062240794	22.469600263751264	21.984555351422422
CPNE1	15	Q99829	1.0	24.93651552249299	24.768702563255378	20.76262286251797	21.95708302194697	25.794835501441476	21.601783706609464	25.71318466467126	25.95049154935662	25.352285788530423	22.5696923962718	25.578468251355385	24.93651552249299
CPNE2	3	Q96FN4	0.9924	20.30525863801065	20.50866481397993	16.31667561795582	17.483255915770137	21.519268877381208	16.616587437572758	21.079802142091655	20.76636673592988	20.88301939904349	17.176224119774083	20.593433402590943	20.30525863801065
CPNE3	32	O75131	1.0	26.133773493538857	25.942671449477093	21.733486833582436	22.967957350031863	27.33672725122347	22.777374972248843	26.71853722444197	26.767954317267307	26.648291577195266	23.32709291469836	26.73160022039965	26.133773493538857
CPNE8	6	Q86YQ8	1.0	21.487982471384935	21.818554328544934	17.171646937042496	18.632276526097698	22.57303107597261	18.373975361907053	21.9594399487693	21.796543517485045	22.351948006522864	18.23508420728489	22.12867025970936	21.487982471384935
CPOX	18	P36551	1.0	24.561901874595836	24.984748305493376	20.79651682259004	22.119012535291326	25.861111352994335	21.454065483721315	24.930636091884747	24.720689813930736	25.16074747692767	21.174188680021807	24.83908010681188	24.561901874595836
CPPED1	13	Q9BRF8	1.0	24.215821824472087	24.73734843206565	20.456941422403375	21.960491267421528	25.027478691767833	20.69908029708792	24.94653479675693	25.098888586646424	24.630896640430986	21.582730170733313	24.262538056010733	24.215821824472087
CPQ	15	Q9Y646	1.0	24.696147763532984	24.739996197050548	20.674693450817653	21.925349091802584	25.726909716372866	21.60000106076486	25.515940593637463	25.528461643193562	25.213108085357437	22.24583622113024	24.869496361560312	24.696147763532984
CPS1	1204	P31327	1.0	30.661570031553715	31.35570836745134	26.523870500641348	28.533918042601865	31.04529387014809	27.36624306853641	30.863132725497927	30.954252378636305	31.641993480323773	27.546462693548143	31.396478202857704	30.661570031553715
CPSF1	23	Q10570	1.0	23.718097634289386	23.42975275345561	19.64614909483085	20.701870796811043	25.452237345159293	20.84498111976336	24.284298516306873	23.98593002798856	23.926138201611483	20.77925145831502	23.880821501582965	23.718097634289386
CPSF2	14	Q9P2I0	1.0	23.327657770647743	23.128795461476745	19.06338115429757	20.33856708224274	25.117015212247395	20.330003125125558	23.95945032180841	23.597867948296415	23.671256100170282	20.356731985624098	23.533501552326694	23.327657770647743
CPSF3	13	Q9UKF6	1.0	23.41470376743448	23.098106887404487	19.390274809125064	20.46659113923274	25.236226872373475	20.23305032008021	23.89370992349854	23.601674012032117	23.64352563983052	20.185020755926203	23.515915317942067	23.41470376743448
CPSF4	2	O95639	1.0	18.89899543673925	18.652830673849856	16.158972953694466	15.65368729106319	20.570475416320434	15.66363372582524	19.175710211485736	19.33499925156539	19.38476577545154	15.791190894084222	18.98445553551626	18.89899543673925
CPSF6	13	Q16630	1.0	24.17437672240991	23.906273692828297	20.08463511074675	21.101975569731188	25.732239100143268	21.128335954029204	24.704431219876362	24.538883706923666	24.41632683818419	21.12162905734166	24.693753893940038	24.17437672240991
CPSF7	18	Q8N684	1.0	23.881272666773917	23.72980834606799	19.937129731953245	20.72861419381542	25.676126873102277	20.48965298537786	24.38504257956466	24.011859421102084	24.13991402269148	20.858470836174117	24.011514388666374	23.881272666773917
CPT1A	67	P50416	1.0	26.434700740568434	26.23663166233899	22.556860924979905	23.49024031037096	28.102882602016997	23.53464043442435	26.73634464827725	26.29955332006821	26.91864989602093	23.561859436413275	26.706916457502984	26.434700740568434
CPT2	90	P23786	1.0	27.322021943080124	27.869526019986395	23.787636902391476	25.087569657846203	28.077172633056048	24.460422107752596	27.62836609461864	27.528333656789254	28.386840720705663	24.267260858952824	27.844089804098864	27.322021943080124
CPTP	2	Q5TA50	0.9935	19.04113558329321	19.582222838041094	14.327296652742405	15.875383152665226	19.150238223492313	15.488862864825098	19.3100425587536	19.370530633961366	19.63098868816513	15.395259174369972	20.0821174959844	19.04113558329321
CPVL	15	Q9H3G5	1.0	25.20509082819143	25.392359351987864	20.901465001460796	22.659272290339814	26.384720792977966	21.861437636366656	25.962065633000645	25.898874916204452	25.967014972887764	22.403376238115747	25.25245283474839	25.20509082819143
CRADD	2	P78560	0.999	21.140392116054727	21.906474917112018	18.384385056031483	18.729484262747928	21.961041736315515	18.506467620295467	21.54204049016661	21.54381090785081	21.507683019075028	17.967356188682018	22.059850406722234	21.140392116054727
CRAT	79	P43155	1.0	27.68654189228848	28.041749674908775	23.596414015052027	25.285155163419084	28.50326040389928	24.29696808855856	28.33743037932751	28.30984788268129	28.2073052550007	24.98449276420151	28.31768604410329	27.68654189228848
CRBN	2	Q96SW2	1.0	20.501359941091227	20.534758752667297	16.19907805661863	17.530627227784983	21.20841522132838	17.155587910839404	21.34253956714359	21.445587428570057	21.41269480322212	17.506663730144513	20.87861496178673	20.501359941091227
CREB1	3	P16220	1.0	22.24735866538231	21.95969514548616	17.861867905351026	19.03929978957153	23.860218636908183	18.749889329166287	22.99179172801037	22.106356928815188	22.594632914541712	18.806844359241474	22.380248969215383	22.24735866538231
